True_Class,Pred_Class
1,0.87580764
0,0.0018021867
0,0.0008763966
0,0.08707325
0,0.03444059
1,0.5463469
0,0.002170194
0,0.004178326
0,0.34874788
0,0.09855679
1,0.84326524
0,0.010006027
0,0.0058426983
0,0.044722043
0,0.09616398
1,0.20487823
0,0.17017208
0,0.20896053
0,0.23518276
0,0.18080641
1,0.10527821
0,0.035585016
0,0.036058646
0,0.052240293
0,0.77083784
1,0.9360973
0,0.0029343346
0,0.0050195493
0,0.043738298
0,0.012210576
1,0.70485675
0,0.0041790023
0,0.0013373796
0,0.10064554
0,0.18898137
1,0.98123956
0,0.0005479628
0,0.0005822471
0,0.014166279
0,0.0034638755
1,0.20623867
0,0.1688857
0,0.20877177
0,0.23716915
0,0.1789347
1,0.24316315
0,0.004472827
0,0.0026725272
0,0.6923892
0,0.05730233
1,0.847597
0,0.0010397967
0,0.0008856268
0,0.1303054
0,0.020172259
1,0.916207
0,0.0014790286
0,0.0012387185
0,0.0536708
0,0.027404442
1,0.8768417
0,0.00077887793
0,0.0007312176
0,0.10295136
0,0.01869684
1,0.74949914
0,0.004090347
0,0.010698298
0,0.019817417
0,0.2158949
1,0.21887612
0,0.0027928709
0,0.005411342
0,0.13328117
0,0.6396385
1,0.08886003
0,0.0008413371
0,0.001759692
0,0.89649385
0,0.01204514
1,0.035617564
0,0.0001159803
0,8.595882e-05
0,0.96285117
0,0.0013293803
1,0.19181901
0,0.17696394
0,0.2117856
0,0.22428912
0,0.19514233
1,0.91380924
0,0.0004001313
0,0.0004998573
0,0.004941426
0,0.08034929
1,0.83790165
0,0.0009811292
0,0.0024139346
0,0.009934664
0,0.14876859
1,0.92905486
0,0.0008252509
0,0.0012115443
0,0.005773991
0,0.063134424
1,0.98407596
0,0.0003942209
0,0.0006905115
0,0.004587258
0,0.010252082
1,0.49248743
0,0.00047785428
0,0.0003829057
0,0.4958333
0,0.01081848
1,0.9185384
0,0.00040437817
0,0.0002364796
0,0.06478874
0,0.016031995
1,0.6386646
0,0.009584721
0,0.004947951
0,0.28072658
0,0.06607615
1,0.20005615
0,0.17455292
0,0.20958868
0,0.22847696
0,0.18732537
1,0.35841164
0,0.0026324177
0,0.001220935
0,0.63537633
0,0.0023586445
1,0.14444007
0,7.819661e-05
0,5.3079573e-05
0,0.8552158
0,0.0002128371
1,0.9233002
0,0.0018085478
0,0.0031816012
0,0.052915737
0,0.01879395
1,0.20201306
0,0.17285499
0,0.20933545
0,0.23109317
0,0.18470335
1,0.641472
0,0.010725323
0,0.024502132
0,0.28014824
0,0.043152377
1,0.7056357
0,0.006375556
0,0.022478338
0,0.22054821
0,0.044962186
1,0.7801748
0,0.00959012
0,0.01698703
0,0.1306569
0,0.06259119
1,0.88376135
0,0.000454971
0,0.0003566782
0,0.11129277
0,0.0041341893
1,0.5724339
0,0.0029217075
0,0.004191864
0,0.41101694
0,0.009435598
1,0.5781215
0,0.012298854
0,0.026613655
0,0.29253766
0,0.0904283
1,0.20404771
0,0.17095566
0,0.20906594
0,0.23397787
0,0.1819528
1,0.015926763
0,0.0069712508
0,0.31431338
0,0.011488663
0,0.65129995
1,0.92842543
0,0.007224215
0,0.0031386262
0,0.04869821
0,0.012513576
1,0.7209638
0,0.0068946565
0,0.015087669
0,0.027954327
0,0.22909968
1,0.9360441
0,0.00030657736
0,0.00017627417
