True_Class,Pred_Class
1,0.9997862
0,1.1531322e-05
0,7.151175e-07
0,1.7291657e-05
0,0.00018422266
1,0.9999993
0,2.3307583e-09
0,4.268907e-08
0,7.981044e-08
0,5.415673e-07
1,0.99998987
0,2.5760046e-06
0,6.8960144e-06
0,6.228963e-07
0,5.0152302e-08
1,0.9998437
0,7.799777e-06
0,0.0001170187
0,2.435229e-05
0,7.0931414e-06
1,1.0
0,2.0523976e-09
0,9.991894e-09
0,2.8797629e-09
0,1.0228553e-08
1,0.9999926
0,4.6413314e-07
0,5.5190367e-06
0,1.2572523e-06
0,1.5189971e-07
1,0.9999478
0,6.8315708e-06
0,3.265211e-05
0,8.6564705e-06
0,4.0579143e-06
1,0.99999297
0,5.784912e-08
0,1.855388e-08
0,5.31659e-06
0,1.6156013e-06
1,0.99995947
0,5.086459e-07
0,9.794934e-08
0,4.5154584e-06
0,3.5436744e-05
1,0.9995696
0,9.4315044e-07
0,1.3354552e-05
0,1.9034801e-06
0,0.00041414017
1,0.9999989
0,6.759383e-11
0,7.424931e-08
0,9.301255e-07
0,1.744664e-10
1,0.99996114
0,1.2523723e-06
0,1.928892e-05
0,1.7844543e-05
0,3.3008124e-07
1,1.0
0,1.169587e-11
0,1.9677957e-08
0,1.5268132e-09
0,1.5116208e-09
1,0.99999917
0,3.0928455e-09
0,3.3145668e-08
0,4.0662096e-07
0,4.1880617e-07
1,0.99997187
0,4.598933e-07
0,2.6641801e-05
0,1.0530485e-06
0,4.9957592e-08
1,0.99999046
0,8.363378e-09
0,4.555921e-08
0,6.432426e-06
0,3.115865e-06
1,0.999998
0,1.4527045e-10
0,1.0512393e-09
0,2.061593e-06
0,3.551723e-08
1,0.99999964
0,2.775128e-10
0,3.8955056e-10
0,1.3930806e-08
0,3.9064008e-07
1,0.9999995
0,5.8667265e-10
0,2.557087e-08
0,4.4609772e-07
0,7.539293e-10
1,1.0
0,3.9713559e-13
0,3.1683267e-12
0,3.7459934e-14
0,1.5483507e-09
1,0.99999106
0,3.6522494e-09
0,9.8292304e-08
0,3.4492596e-06
0,5.363038e-06
1,0.9999933
0,2.587044e-09
0,4.2470085e-09
0,6.693872e-06
0,1.3929655e-08
1,0.9999974
0,5.7956726e-08
0,1.232199e-06
0,2.5804854e-07
0,1.1503719e-06
1,0.9999994
0,6.775334e-09
0,1.198594e-07
0,2.8114613e-07
0,2.2116123e-07
1,0.9994406
0,6.2757906e-08
0,6.223228e-05
0,0.00049707136
0,2.6943014e-09
1,0.9999987
0,1.7461494e-07
0,3.5134595e-09
0,3.725351e-08
0,1.2476555e-06
1,0.9999999
0,5.92179e-11
0,5.421544e-10
0,5.0054943e-08
0,1.5156525e-07
1,0.9999987
0,2.806407e-07
0,1.5899992e-07
0,1.6153108e-07
0,8.162863e-07
1,0.99996614
0,1.7551018e-08
0,1.6052144e-06
0,1.684979e-07
0,3.2128057e-05
1,0.9999995
0,1.3189949e-08
0,9.036769e-10
0,2.546206e-07
0,2.1966673e-07
1,0.9999995
0,6.147204e-08
0,1.2600469e-08
0,3.8120496e-07
0,5.6007345e-08
1,0.9999919
0,8.374405e-09
0,6.655732e-08
0,7.927423e-06
0,8.979909e-11
1,0.9983606
0,3.1811386e-08
0,5.6346175e-07
0,3.8160197e-06
0,0.0016350655
1,1.0
0,9.443838e-09
0,5.760108e-10
0,3.635e-08
0,3.5897123e-08
1,0.9999995
0,3.0525464e-07
0,3.874315e-09
0,5.168947e-08
0,1.4688003e-07
1,0.9999938
0,3.4276366e-06
0,1.8179473e-06
0,9.569509e-07
0,5.2693943e-09
1,0.9999988
0,5.2196953e-09
0,1.0978961e-06
0,1.578207e-07
0,1.3209974e-09
1,0.99999964
0,2.775128e-10
0,3.8955056e-10
0,1.3930806e-08
0,3.9064008e-07
1,0.9999993
0,1.8554067e-12
0,7.7339183e-07
0,5.805176e-08
0,1.5503954e-08
1,0.99999535
0,2.4742646e-09
0,1.4107982e-07
0,3.334214e-06
0,1.1435877e-06
1,0.9999951
0,2.2340583e-09
0,1.1130426e-06
0,1.0276986e-07
0,3.7179555e-06
1,0.9999974
0,2.6985686e-10
0,2.4444284e-06
0,1.1825392e-09
0,1.6937898e-07
1,0.9999194
0,5.050034e-09
0,7.4840336e-06
0,7.302447e-05
0,3.057951e-09
1,0.99999976
0,2.2844037e-11
0,1.1926515e-07
0,1.370004e-07
0,4.9463593e-11
1,0.99996734
0,3.9543937e-09
0,4.8816696e-07
0,2.9622412e-05
0,2.5777308e-06
1,1.0
0,2.27365e-11
0,4.5308637e-10
0,7.4381457e-09
0,3.079097e-10
1,0.9999665
0,5.195758e-07
0,5.529535e-06
0,1.0255471e-06
0,2.6416365e-05
1,0.999961
0,1.0023257e-06
0,2.8187307e-07
0,7.615282e-06
0,3.01788e-05
1,0.9999614
0,3.0645244e-06
0,1.038853e-05
0,1.7286377e-05
0,7.841906e-06
1,0.99999523
0,1.6930796e-08
0,1.2562566e-07
0,3.4884488e-06
0,1.2161092e-06
1,1.0
0,7.3001205e-10
0,7.4526124e-10
0,1.1087329e-08
0,2.5177517e-08
1,0.9998375
0,4.931178e-09
0,1.9103394e-08
0,0.00016249032
0,3.4680765e-12
1,0.9999951
0,6.7544048e-12
0,8.0273e-08
0,4.7180565e-06
0,3.0037686e-15
1,0.99982685
0,4.617212e-08
0,1.1745158e-07
0,3.2790072e-07
0,0.00017271421
1,0.99999166
0,3.8083745e-09
0,3.206938e-08
0,8.301024e-06
0,4.5790233e-11
1,0.9999466
0,8.428144e-11
0,3.986887e-06
0,4.944423e-05
0,1.5410366e-11
1,0.99999964
0,2.4770898e-07
0,1.0426933e-07
0,4.590645e-08
0,5.7120575e-09
1,0.9999906
0,1.0354035e-09
0,9.299125e-06
0,2.6250604e-10
0,1.373855e-07
1,0.9999815
0,1.4087088e-10
0,1.8405219e-05
0,6.703448e-09
0,1.5723688e-07
1,0.99999607
0,1.196144e-09
0,1.1448832e-09
0,3.888266e-06
0,1.7828112e-08
1,0.99998856
0,6.3083148e-09
0,4.538919e-07
0,1.0368938e-05
0,5.8385905e-07
1,0.9999852
0,5.6736706e-08
0,1.1585796e-05
0,2.8397926e-06
0,3.2053717e-07
1,0.9999937
0,1.3108213e-06
0,1.104218e-08
0,1.3147537e-06
0,3.7406944e-06
1,0.99993014
0,4.92352e-07
0,6.8081434e-05
0,1.1501552e-06
0,1.0706101e-07
1,0.99999046
0,5.833092e-09
0,6.524985e-08
0,2.4854094e-06
0,6.900808e-06
1,0.9999615
0,1.7941163e-07
0,6.946262e-07
0,8.1710446e-08
0,3.7395912e-05
1,0.99999094
0,6.1310274e-08
0,5.2056954e-09
0,2.0422722e-06
0,6.9442845e-06
1,0.99998224
0,5.9142764e-07
0,2.8702843e-06
0,2.760798e-07
0,1.4081735e-05
1,0.9992055
0,1.0772673e-05
0,4.53013e-07
0,9.028243e-06
0,0.0007741855
1,0.99999976
0,1.2710984e-11
0,8.2065625e-08
0,1.1782666e-07
0,2.3429208e-11
1,0.9998833
0,6.359451e-07
0,1.6363268e-06
0,0.00011437803
0,4.3962856e-08
1,0.9999994
0,7.1465317e-10
0,1.5780731e-08
0,2.7066545e-08
0,5.5682864e-07
1,1.0
0,7.5271983e-10
0,8.0907725e-09
0,2.6975169e-09
0,1.8695134e-09
1,0.99998224
0,5.9142764e-07
0,2.8702843e-06
0,2.760798e-07
0,1.4081735e-05
1,0.9981933
0,0.0008000788
0,3.528105e-06
0,0.0008943123
0,0.00010859274
1,0.9999994
0,8.61723e-12
0,6.1505427e-09
0,5.574296e-07
0,6.4782726e-14
1,0.99980706
0,4.302776e-08
0,1.0925447e-05
0,0.00018135633
0,6.1583154e-07
1,0.9999887
0,2.1910434e-08
0,6.0118787e-06
0,4.2066108e-07
0,4.8415463e-06
1,0.9999995
0,3.179126e-11
0,2.0973522e-07
0,1.995706e-07
0,2.86467e-12
1,0.99998677
0,2.8241743e-07
0,1.4794756e-07
0,1.2596267e-05
0,1.8705518e-07
1,0.99983513
0,7.724121e-09
0,5.0534652e-08
0,1.2979659e-06
0,0.00016353276
1,0.99996746
0,5.5270855e-09
0,2.76163e-08
0,3.2492804e-05
0,7.577702e-10
1,0.9999995
0,6.147204e-08
0,1.2600469e-08
0,3.8120496e-07
0,5.6007345e-08
1,0.9999913
0,2.854106e-07
0,1.7150345e-06
0,3.0297542e-07
0,6.3787593e-06
1,0.99999917
0,5.898019e-09
0,1.383629e-08
0,8.6653694e-07
0,2.4905287e-09
1,0.99999046
0,8.363378e-09
0,4.555921e-08
0,6.432426e-06
0,3.115865e-06
1,0.9999409
0,6.5158724e-07
0,5.0473936e-05
0,6.5495306e-06
0,1.51175e-06
1,0.99999964
0,1.2711898e-12
0,1.2296379e-08
0,3.346791e-07
0,4.924045e-09
1,0.9999999
0,4.019905e-11
0,8.0807666e-08
0,3.7647476e-09
0,8.970767e-12
1,0.9999981
0,3.204123e-07
0,2.606087e-07
0,6.0939186e-07
0,7.348089e-07
1,0.99998474
0,3.988347e-08
0,5.4861347e-09
0,1.9441973e-06
0,1.3382886e-05
1,0.9999949
0,3.2235427e-08
0,7.1322868e-09
0,1.5470343e-06
0,3.581443e-06
1,0.9999894
0,1.8557353e-08
0,2.584806e-08
0,1.0444103e-05
0,6.150731e-08
1,0.99998283
0,6.218725e-10
0,2.081329e-09
0,5.245849e-10
0,1.7137358e-05
1,0.9981933
0,0.0008000788
0,3.528105e-06
0,0.0008943123
0,0.00010859274
1,0.9997743
0,8.598428e-07
0,1.7483759e-06
0,0.00022056946
0,2.4740752e-06
1,0.99999917
0,1.0247173e-08
0,3.593568e-07
0,4.0845038e-07
0,1.4582119e-07
1,1.0
0,2.336006e-10
0,2.7378457e-08
0,1.7216271e-08
0,3.219455e-08
1,0.9999999
0,3.122352e-10
0,9.525811e-08
0,1.0074411e-08
0,1.5085531e-09
1,0.99992645
0,4.6391502e-08
0,1.3860542e-07
0,5.980557e-08
0,7.3355135e-05
1,0.999997
0,1.05778014e-07
0,2.0087185e-08
0,5.910208e-07
0,2.236895e-06
1,0.9999969
0,1.8680009e-08
0,7.1708804e-08
0,2.941801e-06
0,7.6012313e-10
1,0.9999938
0,3.1496713e-06
